timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp;token
2023-07-26T00:00:00.000Z;2023-07-26T23:59:59.999Z;2023-07-26T21:11:00.000Z;2023-07-26T01:41:00.000Z;0.00273795647235;0.00277541696434;0.00271316768933;0.00274935169244;2146516.98;114374517.92;2023-07-26T23:59:59.999Z;Nervos Network
2023-07-25T00:00:00.000Z;2023-07-25T23:59:59.999Z;2023-07-25T14:23:00.000Z;2023-07-25T20:50:00.000Z;0.00275474896835;0.00276447832552;0.00271327964687;0.00273792913073;2332665.75;113864796.62;2023-07-25T23:59:59.999Z;Nervos Network
2023-07-24T00:00:00.000Z;2023-07-24T23:59:59.999Z;2023-07-24T00:25:00.000Z;2023-07-24T18:24:00.000Z;0.00282922596902;0.00283316018086;0.00272783551851;0.00275472275818;3152504.9;114530303.53;2023-07-24T23:59:59.999Z;Nervos Network
2023-07-23T00:00:00.000Z;2023-07-23T23:59:59.999Z;2023-07-23T18:01:00.000Z;2023-07-23T00:24:00.000Z;0.0027811208281;0.00286135103139;0.00277701044977;0.00282958111944;2126002.22;117609186.01;2023-07-23T23:59:59.999Z;Nervos Network
2023-07-22T00:00:00.000Z;2023-07-22T23:59:59.999Z;2023-07-22T09:53:00.000Z;2023-07-22T23:33:00.000Z;0.00280175986534;0.00282374391978;0.00277675198225;0.00278092943507;2064610.52;115550182.09;2023-07-22T23:59:59.999Z;Nervos Network
2023-07-21T00:00:00.000Z;2023-07-21T23:59:59.999Z;2023-07-21T03:22:00.000Z;2023-07-21T11:38:00.000Z;0.00280393939785;0.00283215320336;0.00277010658305;0.00280176158736;3012862.06;116382017.04;2023-07-21T23:59:59.999Z;Nervos Network
2023-07-20T00:00:00.000Z;2023-07-20T23:59:59.999Z;2023-07-20T14:04:00.000Z;2023-07-20T15:03:00.000Z;0.00275591373875;0.00284883715813;0.00274922265967;0.00280397799107;4067840.89;116440866.99;2023-07-20T23:59:59.999Z;Nervos Network
2023-07-19T00:00:00.000Z;2023-07-19T23:59:59.999Z;2023-07-19T03:04:00.000Z;2023-07-19T14:26:00.000Z;0.00280363084446;0.00283329074335;0.00274652026855;0.00275593200081;3451109.46;114412995.07;2023-07-19T23:59:59.999Z;Nervos Network
2023-07-18T00:00:00.000Z;2023-07-18T23:59:59.999Z;2023-07-18T01:51:00.000Z;2023-07-18T16:52:00.000Z;0.00285657448142;0.00286458562506;0.00275714372646;0.00280308086568;2294055.59;116337253.41;2023-07-18T23:59:59.999Z;Nervos Network
2023-07-17T00:00:00.000Z;2023-07-17T23:59:59.999Z;2023-07-17T08:45:00.000Z;2023-07-17T18:53:00.000Z;0.0028391016708;0.00291628070857;0.00279673326948;0.0028568244772;2657210.65;118533731.28;2023-07-17T23:59:59.999Z;Nervos Network
2023-07-16T00:00:00.000Z;2023-07-16T23:59:59.999Z;2023-07-16T00:22:00.000Z;2023-07-16T23:38:00.000Z;0.002914311786;0.00292054627177;0.00283114804396;0.00283923522927;2091233.3;117769825.04;2023-07-16T23:59:59.999Z;Nervos Network
2023-07-15T00:00:00.000Z;2023-07-15T23:59:59.999Z;2023-07-15T08:01:00.000Z;2023-07-15T04:04:00.000Z;0.00289270785141;0.00295021222721;0.00286227682099;0.00291450804463;2474058.28;120857610.45;2023-07-15T23:59:59.999Z;Nervos Network
2023-07-14T00:00:00.000Z;2023-07-14T23:59:59.999Z;2023-07-14T16:28:00.000Z;2023-07-14T20:35:00.000Z;0.00296067586666;0.00301736058663;0.00283569077854;0.00289278951699;3554168.09;119922940.01;2023-07-14T23:59:59.999Z;Nervos Network
2023-07-13T00:00:00.000Z;2023-07-13T23:59:59.999Z;2023-07-13T23:46:00.000Z;2023-07-13T05:07:00.000Z;0.00276748976813;0.0029621202142;0.00272204818146;0.0029607350957;4368046.8;122704410.66;2023-07-13T23:59:59.999Z;Nervos Network
2023-07-12T00:00:00.000Z;2023-07-12T23:59:59.999Z;2023-07-12T14:58:00.000Z;2023-07-12T19:55:00.000Z;0.00281553355315;0.00284414199976;0.00275627936253;0.00276771233869;2646018.28;114668798.19;2023-07-12T23:59:59.999Z;Nervos Network
2023-07-11T00:00:00.000Z;2023-07-11T23:59:59.999Z;2023-07-11T04:19:00.000Z;2023-07-11T21:44:00.000Z;0.00286256884574;0.00288443452062;0.00278926067871;0.00281559589293;2717559.37;116619234.73;2023-07-11T23:59:59.999Z;Nervos Network
2023-07-10T00:00:00.000Z;2023-07-10T23:59:59.999Z;2023-07-10T20:08:00.000Z;2023-07-10T00:26:00.000Z;0.00283540236335;0.00290227508814;0.00279125284333;0.00286325750104;2669721.26;118559719.4;2023-07-10T23:59:59.999Z;Nervos Network
2023-07-09T00:00:00.000Z;2023-07-09T23:59:59.999Z;2023-07-09T01:11:00.000Z;2023-07-09T22:34:00.000Z;0.00286020023022;0.0028860008875;0.00283022023847;0.00283497361143;1901850.61;117354251.22;2023-07-09T23:59:59.999Z;Nervos Network
2023-07-08T00:00:00.000Z;2023-07-08T23:59:59.999Z;2023-07-08T01:34:00.000Z;2023-07-08T20:23:00.000Z;0.00289995503026;0.0029101137645;0.00281322252745;0.00286000392791;2133376.24;118356514.67;2023-07-08T23:59:59.999Z;Nervos Network
2023-07-07T00:00:00.000Z;2023-07-07T23:59:59.999Z;2023-07-07T14:05:00.000Z;2023-07-07T00:39:00.000Z;0.00287869746863;0.00291640177696;0.00285160036178;0.00289946386354;2610870.47;119955114.81;2023-07-07T23:59:59.999Z;Nervos Network
2023-07-06T00:00:00.000Z;2023-07-06T23:59:59.999Z;2023-07-06T09:27:00.000Z;2023-07-06T23:59:00.000Z;0.00300070038361;0.00307485816076;0.00288165868454;0.00288165868454;3086883.0;119184689.2;2023-07-06T23:59:59.999Z;Nervos Network
2023-07-05T00:00:00.000Z;2023-07-05T23:59:59.999Z;2023-07-05T07:54:00.000Z;2023-07-05T20:07:00.000Z;0.00311440647535;0.00317776407557;0.00295339788311;0.00300053301379;2836977.9;124065709.1;2023-07-05T23:59:59.999Z;Nervos Network
2023-07-04T00:00:00.000Z;2023-07-04T23:59:59.999Z;2023-07-04T00:00:00.000Z;2023-07-04T19:43:00.000Z;0.00322609639078;0.00322609639078;0.00309233170922;0.00311458953653;3059857.05;128744658.82;2023-07-04T23:59:59.999Z;Nervos Network
2023-07-03T00:00:00.000Z;2023-07-03T23:59:59.999Z;2023-07-03T23:59:00.000Z;2023-07-03T01:02:00.000Z;0.00312991949374;0.00322664618034;0.00311799259484;0.00322664618034;3209910.26;133338397.24;2023-07-03T23:59:59.999Z;Nervos Network
2023-07-02T00:00:00.000Z;2023-07-02T23:59:59.999Z;2023-07-02T23:03:00.000Z;2023-07-02T04:04:00.000Z;0.00304255837714;0.00314355790166;0.00296762089164;0.00313005457299;3071791.37;129309875.84;2023-07-02T23:59:59.999Z;Nervos Network
2023-07-01T00:00:00.000Z;2023-07-01T23:59:59.999Z;2023-07-01T13:01:00.000Z;2023-07-01T00:00:00.000Z;0.00295274843829;0.00315778940887;0.00295274843829;0.00304259406872;4692276.11;125660310.06;2023-07-01T23:59:59.999Z;Nervos Network
2023-06-30T00:00:00.000Z;2023-06-30T23:59:59.999Z;2023-06-30T17:43:00.000Z;2023-06-30T13:52:00.000Z;0.00281033304059;0.00297222269256;0.0027871186383;0.00295181259418;5064085.64;121874502.92;2023-06-30T23:59:59.999Z;Nervos Network
2023-06-29T00:00:00.000Z;2023-06-29T23:59:59.999Z;2023-06-29T12:05:00.000Z;2023-06-29T02:59:00.000Z;0.00274039424447;0.00282816212636;0.00272067938619;0.00281043938614;2625533.76;116003811.73;2023-06-29T23:59:59.999Z;Nervos Network
2023-06-28T00:00:00.000Z;2023-06-28T23:59:59.999Z;2023-06-28T00:07:00.000Z;2023-06-28T20:23:00.000Z;0.00292566119222;0.00292776107772;0.00271292765203;0.00274056764446;3198785.71;113086961.38;2023-06-28T23:59:59.999Z;Nervos Network
2023-06-27T00:00:00.000Z;2023-06-27T23:59:59.999Z;2023-06-27T14:10:00.000Z;2023-06-27T00:00:00.000Z;0.00290315938521;0.00298061739449;0.00290315938521;0.00292495599361;2842789.43;120661158.7;2023-06-27T23:59:59.999Z;Nervos Network
2023-06-26T00:00:00.000Z;2023-06-26T23:59:59.999Z;2023-06-26T00:01:00.000Z;2023-06-26T22:13:00.000Z;0.00301938129565;0.00302057571837;0.00287845730235;0.00290317756285;3009379.25;119728067.89;2023-06-26T23:59:59.999Z;Nervos Network
2023-06-25T00:00:00.000Z;2023-06-25T23:59:59.999Z;2023-06-25T08:59:00.000Z;2023-06-25T19:51:00.000Z;0.00302660199026;0.00307174506426;0.00298387478013;0.00302021481033;2654066.34;124518897.42;2023-06-25T23:59:59.999Z;Nervos Network
2023-06-24T00:00:00.000Z;2023-06-24T23:59:59.999Z;2023-06-24T12:41:00.000Z;2023-06-24T16:05:00.000Z;0.00301710054468;0.00304348321971;0.00296409225674;0.00302667991824;2839408.19;124749632.72;2023-06-24T23:59:59.999Z;Nervos Network
2023-06-23T00:00:00.000Z;2023-06-23T23:59:59.999Z;2023-06-23T18:10:00.000Z;2023-06-23T07:23:00.000Z;0.0028755403699;0.00304785603187;0.00286865218076;0.0030169760679;3669805.75;124313752.07;2023-06-23T23:59:59.999Z;Nervos Network
2023-06-22T00:00:00.000Z;2023-06-22T23:59:59.999Z;2023-06-22T01:55:00.000Z;2023-06-22T23:11:00.000Z;0.00291480084228;0.00299596153367;0.00286599231948;0.00287550387121;3693125.72;118450485.61;2023-06-22T23:59:59.999Z;Nervos Network
2023-06-21T00:00:00.000Z;2023-06-21T23:59:59.999Z;2023-06-21T23:37:00.000Z;2023-06-21T00:13:00.000Z;0.00276418707664;0.00292330819491;0.00275777051672;0.00291506971012;4126601.86;120045770.78;2023-06-21T23:59:59.999Z;Nervos Network
2023-06-20T00:00:00.000Z;2023-06-20T23:59:59.999Z;2023-06-20T20:52:00.000Z;2023-06-20T14:42:00.000Z;0.0026769320624;0.00279086302218;0.00263237238221;0.00276396088874;2902543.84;113789861.9;2023-06-20T23:59:59.999Z;Nervos Network
