fecha,hora,portafolio,token,symbol,precio,1h,24h,7d,tendencia_7d,market_cap,volumen_usd,tokens_movidos,suministro_circulante
11/05/2025,22:58:57,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Gods Unchained,GODS,"0,1185 US$",-0.96,-2.05,5.48,positivo,"$43,696,931","$4,288,586",36.16M GODS,368.47M GODS
11/05/2025,22:58:58,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,CLV,CLV,"0,02899 US$",-0.21,-2.05,2.44,positivo,"$35,496,267","$2,429,401",83.78M CLV,1.22B CLV
11/05/2025,22:58:58,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,StakeStone,STO,"0,1388 US$",-2.7,-1.99,-20.24,negativo,"$31,296,723","$37,083,138",266.99M STO,225.33M STO
11/05/2025,22:58:58,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,BSquared Network,B2,"0,6278 US$",0.12,-0.06,-3.79,negativo,"$29,447,579","$207,780,730",330.92M B2,46.9M B2
11/05/2025,22:58:58,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Haedal Protocol,HAEDAL,"0,1310 US$",-0.28,3.89,-9.92,negativo,"$25,558,185","$57,840,700",441.30M HAEDAL,195M HAEDAL
11/05/2025,22:58:58,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,SIDUS,SIDUS,"0,001100 US$",0.18,-12.81,18.61,positivo,"$14,869,653","$1,010,046",918.09M SIDUS,13.51B SIDUS
11/05/2025,22:59:00,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Bitcoin,BTC,"104.083,36 US$",0.2,0.01,10.6,positivo,"$2,067,469,279,522","$46,193,062,341",444.45K BTC,19.86M BTC
11/05/2025,22:59:00,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Ethereum,ETH,"2519,12 US$",0.01,-0.73,40.24,positivo,"$304,133,107,922","$24,074,852,662",9.57M ETH,120.72M ETH
11/05/2025,22:59:00,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Chainlink,LINK,"17,13 US$",0.51,1.1,23.25,positivo,"$11,256,272,781","$565,632,504",33.07M LINK,657.09M LINK
11/05/2025,22:59:00,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Aave,AAVE,"221,06 US$",0.02,-1.45,27.05,positivo,"$3,341,295,696","$248,810,377",1.12M AAVE,15.11M AAVE
11/05/2025,22:59:01,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,The Graph,GRT,"0,1206 US$",0.15,-1.5,32.93,positivo,"$1,185,579,680","$56,498,703",471.12M GRT,9.82B GRT
11/05/2025,22:59:01,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Curve DAO Token,CRV,"0,7805 US$",-0.44,-4.11,13.91,positivo,"$1,048,336,502","$153,835,841",198.35M CRV,1.34B CRV
11/05/2025,22:59:01,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Kava,KAVA,"0,4782 US$",-2.47,-3.89,4.27,positivo,"$517,885,203","$17,026,582",35.79M KAVA,1.08B KAVA
11/05/2025,22:59:01,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Synthetix,SNX,"0,8769 US$",0.83,0.21,32.23,positivo,"$297,683,747","$31,476,364",36.04M SNX,339.46M SNX
11/05/2025,22:59:01,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Maple Finance,SYRUP,"0,2667 US$",-3.46,-5.33,55.42,positivo,"$284,922,554","$76,496,107",287.00M SYRUP,1.06B SYRUP
11/05/2025,22:59:01,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Babylon,BABY,"0,09696 US$",-1.68,2.04,9.71,positivo,"$222,435,933","$83,947,101",869.64M BABY,2.29B BABY
11/05/2025,22:59:02,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,yearn.finance,YFI,"6400,34 US$",0.19,-2.04,21.95,positivo,"$216,414,430","$24,204,126",3.78K YFI,33.81K YFI
11/05/2025,22:59:02,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Tellor,TRB,"36,51 US$",0.4,0.17,30.55,positivo,"$97,237,633","$26,468,765",724.96K TRB,2.66M TRB
11/05/2025,22:59:02,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,DODO,DODO,"0,06157 US$",1.01,0.91,36.66,positivo,"$44,685,725","$10,261,373",167.07M DODO,725.7M DODO
11/05/2025,22:59:02,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,dHedge DAO,DHT,"0,1163 US$",0.53,3.05,5.83,positivo,"$6,680,986","$2,422",20.82K DHT,57.42M DHT
11/05/2025,22:59:02,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Edgeware,EDG,"0,00003446 US$",0.02,22.81,26.54,positivo,"$218,879","$21,979",637.66M EDG,6.35B EDG
11/05/2025,22:59:02,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,PowerTrade Fuel,PTF,"0,007870 US$",0.38,-0.51,-5.86,negativo,"$183,482","$138,646",17.63M PTF,23.31M PTF
11/05/2025,22:59:02,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Fractal ID,FCL,"0,006707 US$",0.0,-14.31,30.58,positivo,"$111,320",--,,16.59M FCL
11/05/2025,22:59:03,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Chainflip,FLIP,"0,4579 US$",-0.42,0.61,15.54,positivo,"$7,905,043","$652,078",1.42M FLIP,17.25M FLIP
11/05/2025,22:59:03,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Edgeless,EDG,--,,,,desconocido,--,--,,--
11/05/2025,22:59:03,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,Bitlayer,BTR,--,,,,desconocido,--,--,,--
11/05/2025,22:59:04,Principales Tokens Alameda Research Portfolio por Capitalización de Mercado,Bitcoin,BTC,"104.078,92 US$",0.19,0.02,10.66,positivo,"$2,067,381,154,776","$46,148,711,890",444.03K BTC,19.86M BTC
11/05/2025,22:59:04,Principales Tokens Alameda Research Portfolio por Capitalización de Mercado,Ethereum,ETH,"2518,99 US$",-0.05,-0.75,40.31,positivo,"$304,117,627,413","$24,071,033,918",9.57M ETH,120.72M ETH
11/05/2025,22:59:05,Principales Tokens Alameda Research Portfolio por Capitalización de Mercado,BNB,BNB,"655,29 US$",0.45,-1.07,11.36,positivo,"$92,324,066,031","$1,763,017,186",2.69M BNB,140.88M BNB
11/05/2025,22:59:05,Principales Tokens Alameda Research Portfolio por Capitalización de Mercado,Solana,SOL,"174,69 US$",0.56,-0.68,20.41,positivo,"$90,723,028,784","$3,461,252,280",19.89M SOL,519.32M SOL
11/05/2025,22:59:05,Principales Tokens Alameda Research Portfolio por Capitalización de Mercado,UNUS SED LEO,LEO,"8,39 US$",0.78,1.01,-7.53,negativo,"$7,751,017,361","$5,646,623",672.75K LEO,923.48M LEO
11/05/2025,22:59:05,Principales Tokens Alameda Research Portfolio por Capitalización de Mercado,Uniswap,UNI,"7,01 US$",0.15,-3.75,39.56,positivo,"$4,409,226,079","$315,366,479",45.05M UNI,628.49M UNI
11/05/2025,22:59:05,Principales Tokens Alameda Research Portfolio por Capitalización de Mercado,Aave,AAVE,"221,06 US$",0.46,-1.45,27.05,positivo,"$3,341,295,696","$247,333,864",1.11M AAVE,15.11M AAVE
